user_id,used_notes,notes_type,session_time,pre_test_score,post_test_score,score_gain
581,1,beginner,40,52,62,10
582,1,advanced,62,46,73,27
583,1,intermediate,66,41,61,20
584,0,intermediate,84,52,83,31
585,1,intermediate,69,45,69,24
586,0,beginner,89,32,38,6
587,0,beginner,47,59,68,9
588,0,intermediate,76,51,74,23
589,0,intermediate,37,38,58,20
590,0,beginner,29,58,63,5
591,0,intermediate,41,52,82,30
592,1,intermediate,89,42,67,25
593,0,intermediate,78,61,90,29
594,0,beginner,65,52,62,10
595,1,beginner,67,46,55,9
596,1,beginner,65,50,55,5
597,1,intermediate,61,31,52,21
598,0,intermediate,18,35,63,28
599,0,intermediate,21,47,69,22
600,0,beginner,49,59,70,11
601,0,beginner,62,51,57,6
602,0,intermediate,87,62,84,22
603,0,beginner,86,59,69,10
604,0,beginner,59,46,54,8
605,0,beginner,86,61,72,11
606,1,advanced,33,43,68,25
607,0,beginner,77,39,44,5
608,1,beginner,52,63,72,9
609,1,beginner,81,38,43,5
610,1,beginner,73,57,63,6
611,0,beginner,83,40,49,9
612,1,advanced,27,43,70,27
613,1,beginner,61,48,53,5
614,0,beginner,75,44,51,7
615,1,beginner,45,57,65,8
616,1,advanced,36,53,83,30
617,0,intermediate,57,37,61,24
618,0,beginner,81,38,46,8
619,1,intermediate,68,62,88,26
620,1,beginner,24,62,68,6
621,0,intermediate,56,48,74,26
622,0,beginner,78,32,40,8
623,1,intermediate,35,39,62,23
624,1,advanced,80,30,55,25
625,1,intermediate,55,58,88,30
626,1,intermediate,38,63,84,21
627,1,beginner,49,42,48,6
628,1,advanced,70,30,61,31
629,0,beginner,44,63,68,5
630,0,intermediate,71,58,79,21
631,1,advanced,61,42,74,32
632,1,intermediate,49,58,82,24
633,1,intermediate,33,53,79,26
634,1,intermediate,22,55,75,20
635,0,beginner,40,46,55,9
636,1,intermediate,85,36,65,29
637,1,beginner,44,42,51,9
638,0,beginner,21,34,43,9
639,0,intermediate,81,55,80,25
640,1,beginner,79,32,41,9
641,0,beginner,50,36,43,7
642,0,beginner,39,30,39,9
643,0,beginner,51,46,56,10
644,0,intermediate,15,54,79,25
645,0,intermediate,29,32,54,22
646,1,beginner,51,44,49,5
647,1,beginner,27,58,65,7
648,1,beginner,22,61,67,6
649,1,advanced,19,55,87,32
650,1,intermediate,74,45,74,29
651,0,beginner,87,54,61,7
652,1,advanced,15,57,83,26
653,1,advanced,50,38,64,26
654,1,advanced,49,30,62,32
655,1,advanced,80,58,90,32
656,0,intermediate,77,51,81,30
657,0,beginner,37,45,56,11
658,1,intermediate,23,36,64,28
659,1,advanced,48,43,69,26
660,1,intermediate,60,58,82,24
661,1,advanced,18,48,77,29
662,1,intermediate,44,48,74,26
663,1,beginner,89,31,40,9
664,0,intermediate,86,44,74,30
665,0,intermediate,17,32,56,24
666,0,beginner,28,40,46,6
667,0,intermediate,74,59,82,23
668,0,intermediate,59,47,73,26
669,0,beginner,48,31,42,11
670,0,intermediate,59,61,92,31
671,0,beginner,75,37,43,6
672,1,beginner,30,51,60,9
673,0,beginner,80,35,46,11
674,1,advanced,54,41,71,30
675,1,intermediate,31,44,74,30
676,1,intermediate,48,57,78,21
677,0,intermediate,30,47,78,31
678,1,intermediate,74,31,56,25
679,1,beginner,80,42,50,8
680,1,intermediate,80,44,73,29
681,1,intermediate,27,49,69,20
682,0,beginner,70,58,68,10
683,0,intermediate,45,58,88,30
684,1,advanced,48,32,63,31
685,1,beginner,53,48,53,5
686,1,intermediate,81,32,55,23
687,1,beginner,22,43,48,5
688,0,beginner,69,33,44,11
689,1,intermediate,41,40,63,23
690,0,beginner,67,60,70,10
691,0,intermediate,53,61,82,21
692,1,intermediate,79,56,83,27
693,1,advanced,31,59,87,28
694,0,intermediate,44,31,52,21
695,0,intermediate,67,38,69,31
696,1,intermediate,27,57,82,25
697,0,beginner,35,60,67,7
698,1,beginner,33,63,72,9
699,0,beginner,67,44,54,10
700,1,advanced,33,54,79,25
701,1,intermediate,71,37,61,24
702,0,beginner,39,38,43,5
703,0,beginner,45,61,71,10
704,0,beginner,69,46,52,6
705,0,beginner,37,64,73,9
706,1,beginner,46,48,53,5
707,0,intermediate,76,58,80,22
708,1,beginner,88,36,41,5
709,0,beginner,24,57,67,10
710,1,beginner,86,38,47,9
711,1,beginner,68,57,67,10
712,1,advanced,66,35,62,27
713,1,advanced,34,58,88,30
714,1,beginner,46,46,56,10
715,0,beginner,28,45,56,11
716,1,intermediate,64,52,81,29
717,1,advanced,42,60,85,25
718,1,intermediate,67,32,62,30
719,0,beginner,38,50,59,9
720,1,intermediate,36,55,85,30
721,1,intermediate,44,51,77,26
722,0,intermediate,77,41,70,29
723,0,intermediate,18,42,68,26
724,1,beginner,73,40,49,9
725,1,advanced,22,45,76,31
726,1,beginner,26,37,45,8
727,0,intermediate,45,31,60,29
728,1,intermediate,48,59,90,31
729,0,beginner,89,59,69,10
730,0,intermediate,63,41,66,25
731,0,intermediate,71,39,70,31
732,1,intermediate,40,40,65,25
733,1,intermediate,32,44,66,22
734,1,intermediate,52,45,67,22
735,1,intermediate,64,46,73,27
736,1,advanced,22,55,85,30
737,1,beginner,55,31,40,9
738,1,advanced,20,41,68,27
739,1,intermediate,83,55,78,23
740,1,beginner,58,52,62,10
741,1,beginner,78,47,57,10
742,0,beginner,43,61,68,7
743,1,advanced,42,32,63,31
744,1,intermediate,25,32,59,27
745,0,beginner,79,59,67,8
746,1,intermediate,33,30,52,22
747,1,intermediate,23,59,87,28
748,1,beginner,41,61,71,10
749,1,beginner,48,57,67,10
750,1,intermediate,58,50,78,28
751,0,intermediate,82,42,68,26
752,1,beginner,29,56,64,8
753,1,intermediate,65,36,61,25
754,0,intermediate,27,51,72,21
755,0,intermediate,63,39,67,28
756,1,advanced,84,44,76,32
757,1,intermediate,70,44,71,27
758,1,intermediate,65,33,53,20
759,1,intermediate,51,61,85,24
760,1,advanced,31,52,83,31
761,0,intermediate,72,35,55,20
762,0,intermediate,43,53,82,29
763,0,beginner,47,49,56,7
764,1,beginner,74,49,57,8
765,0,intermediate,69,41,68,27
766,1,intermediate,24,62,82,20
767,1,beginner,61,57,63,6
768,1,beginner,37,37,45,8
769,0,beginner,35,30,39,9
770,1,beginner,27,51,60,9
771,0,intermediate,47,35,55,20
772,1,advanced,38,50,80,30
773,0,intermediate,25,61,90,29
774,1,intermediate,31,64,92,28
775,1,beginner,82,44,49,5
776,0,intermediate,61,34,62,28
777,0,beginner,39,35,43,8
778,1,intermediate,87,54,84,30
779,1,advanced,35,58,87,29
780,1,advanced,26,36,68,32
781,1,beginner,51,42,52,10
782,1,advanced,56,47,74,27
783,0,intermediate,31,31,52,21
784,0,intermediate,62,37,67,30
785,0,beginner,42,40,50,10
786,1,beginner,55,62,70,8
787,1,intermediate,61,56,86,30
788,1,intermediate,32,49,80,31
789,1,intermediate,85,41,69,28
790,1,intermediate,27,60,91,31
791,0,intermediate,27,56,78,22
792,1,beginner,45,61,67,6
793,1,intermediate,16,39,69,30
794,1,beginner,30,32,41,9
795,0,beginner,23,56,62,6
796,1,intermediate,87,64,87,23
797,1,advanced,52,60,91,31
798,1,beginner,89,44,54,10
799,1,beginner,68,45,56,11
800,1,beginner,70,42,49,7
